八只鸡	高建国	方城淞	剧情	中国大陆	2018-07-19	No Choice		null
神秘世界历险记4	王云飞/张林旭/李佳怡	阎么么/赵一博/张磊/图特哈蒙/郭政建/林强/白雪岑/咩咩/魏超	动画	中国大陆	2018-08-03	null		null
真心话太冒险	谢韵/黄俊舒	涂世旻/柯子静/Stephanie Stralow	喜剧/爱情	中国大陆	2018-08-03	null		null
肆式青春	李豪凌/易小星/竹内良贵	坂泰斗/寿美菜子/白石晴香/安元洋贵/大冢刚央/长谷川育美/彭师欣/唐雅菁/陈颖晖/梁达伟/林美玉	动画	日本 / 中国大陆	2018-08-04	诗季织织/Flavors of Youth/しきおりおり		null
一出好戏	黄渤	黄渤/舒淇/王宝强/张艺兴/于和伟/王迅/李勤勤/李又麟	喜剧	中国大陆	2018-08-10	大富翁/The Island		null
爱情公寓	韦正	陈赫/娄艺潇/邓家佳/孙艺洲/李佳航/李金铭	喜剧/爱情	中国大陆	2018-08-10	爱情公寓电影版/终于，又双叒叕回来搞事情了		null
巨齿鲨	乔·德特杜巴	杰森·斯坦森/李冰冰/雷恩·威尔森/鲁比·罗丝/赵文瑄/佩吉·肯尼迪/杰西卡·麦克娜美/奥拉维尔·达里·奥拉夫松/罗伯特·泰勒/蔡书雅/丘增/克利夫·柯蒂斯/安佑森/罗伯·基帕-威廉姆斯/维他亚·潘斯林加姆/安得烈·格兰杰/蒂姆·王/史蒂文·A·戴维斯/托万达·马尼莫	动作/科幻/惊悚	美国 / 中国大陆 / 香港	2018-08-10	极悍巨鲨(港)/麦格		null
美食大冒险之英雄烩	孙海鹏	null	动作/动画/冒险	中国大陆	2018-08-10	Kungfood/美食大冒险		null
勇者闯魔城	杨汉钊	李仰	喜剧/动画/奇幻	中国大陆	2018-08-10	Brave City		null
大轰炸	萧锋	刘烨/布鲁斯·威利斯/宋承宪/陈伟霆/范伟/马苏/车永莉/吴刚/冯远征/张钧甯/耿乐/谢霆锋/范冰冰/陈道明/艾德里安·布洛迪/雷佳/涩谷天马/张帆/任达华/吕良伟/胡兵/黄海冰/拉莫·威利斯/刘晓庆/曹可凡/黄圣依/钟镇涛/爱新觉罗·启星/汪东城	动作/历史/战争	中国大陆	2018-08-17	Unbreakable Spirit/The Bombing		null
快把我哥带走	郑芬芬	张子枫/彭昱畅/赵今麦/孙泽源/方翔锐/刘冠毅	喜剧/奇幻	中国大陆	2018-08-17	Go Brother!		null
如影随心	霍建起	陈晓/杜鹃/王嘉/马苏/华少/谢依霖/关晓彤/高晓攀/赵震/庞奕欣/侯佳伟/王毅凡	剧情/爱情	中国大陆	2018-08-17	可遇可求/Lost in love		null
最后的棒棒	何苦	null	纪录片	中国大陆	2018-08-17	最后的棒棒电影版/The Last Stickman of Chongqing		null
未来机器城	安恪温/龙子乔	冯远征/石班瑜/韩莹棣/郑海音/涂松岩/杨婷/杰森·苏戴奇斯/查琳·易/迈克尔·佩纳/大卫·克罗斯/吴恬敏	科幻/动画/冒险	中国大陆 / 加拿大	2018-08-17	暴走吧！失忆超人/Next Gen		null
大师兄	阚家伟	甄子丹/陈乔恩/喻亢/骆明劼/汤君慈/汤君耀/李靖筠/刘朝健/林秋楠	喜剧/动作	香港	2018-08-17	Big Brother		null
下一站：前任	陈鸿仪	郭采洁/郑恺/李东学/李荣浩/谢依霖/蓝心湄/林辰唏/林美秀	爱情	台湾 / 中国大陆	2018-08-17	时间差/Always Miss You/Passed By		null
深海历险记	Julio Soto Gurpide	张璐/陈红/张云龙/杨希/郭政建/张遥函/胡静/刘琮/敖磊/贾小军/王敏纳	喜剧/动画/冒险	中国大陆	2018-08-17	Home Under The Sea		null
他是一只狗	孙健/杨昕雨	许贵源/雷璐璐/多多	喜剧/爱情/奇幻	中国大陆	2018-08-17	null		null
冷恋时代	童江南	姚星彤/立威廉/董琦/梦丽/朱璇/李若斯/李木子/万梓良/苏国涛	喜剧/爱情	中国大陆	2018-08-17	剩女大逃亡/Ice Cream Lover		null
大三儿	佟晟嘉	null	纪录片	中国大陆	2018-08-20	Mr. Big	8.0	564
反贪风暴3	林德禄	古天乐/张智霖/郑嘉颖/邓丽欣/栢天男/谢天华/张继聪/夏嫣/蔡瀚亿/廖启智/谭耀文/卢海鹏/罗兰/麦长青/张松枝/陈庭欣/丁海峰/冯雷	剧情/动作/犯罪	香港	2018-08-24	null		null
七袋米	Maricel Cariaga	阿诺德雷·耶斯/苏·普拉多/米科·劳伦特/米尔·埃斯皮诺萨/阿方索·伊尼戈·德伦	剧情/家庭/儿童	菲律宾	2018-08-24	Seven Sacks of Rice/7袋米		null
让我怎么相信你	梁青儿/梁小凉	梁天/安乙荞/文松/闫妮/关婷娜/叶萌/谢梦华	剧情/喜剧	中国大陆	2018-08-24	Good Luck Dad		null
道高一丈	姜凯阳	聂远/谭凯/徐露/于明加/曲高位/张陆/倪大红/程煜/宋春丽/佟瑞敏	剧情/悬疑/犯罪	中国大陆	2018-08-24	The Blizzard		null
有五个姐姐的我就注定要单身了	苏文圣	蔡凡熙/项婕如/谢金燕/张立昂/刘奕儿/张墨锡/高隽雅/张垚/朱轩洋	喜剧/爱情	台湾	2018-08-24	五个姐姐/Five Sisters/How to Train Our Dradon		null
天下第一镖局	陶盟喜	樊少皇/车永莉/释彦能/施南/吕良伟/陈之辉/史洪波/巴多/王海祥/徐冬梅/容尔甲/孙明明/李炳雷/答有为/连凯/周浩东/卢惠光/陈超/梁家仁/张宝雯/李炳渊/李长海/张家荣/张衡/李沛泽/田雨晴/陶日金/蒋列/胡蓉蓉/张佳维/金博涵/何梓铭	动作/古装	中国大陆	2018-08-24	null		null
纯真年代	韩荣声	范洪涛/张琳/黄宝龙/温正邦/古玉枫/王思霖/廖丽/黎骏/古运昌/邹馥莲	剧情/家庭/儿童	中国大陆	2018-08-24	The Innocence of Childhood		null
惊慌失色之诡寓	齐迹	梁辰羽/樱雪/代佳夕/李卫东/杨一凡/齐迹/张公乐/高鸿炜/曾芳婷/徐凡/李子胤/李思贤/陈皓/沙轩	悬疑/惊悚	中国大陆	2018-08-24	Panic: Ghost Apartment		null
美丽战争	陈勋奇	谭耀文/孟广美/马国明/那广子/罗诠浩	剧情/动作	中国大陆	2018-08-24	Super Model Fantasy		null
旅行吧！井底之蛙	陈设	王雪沁/吴凡/周宗禹/强光宗/张艺文/唐泽宗/濮心宇	动画/奇幻/冒险	中国大陆	2018-08-25	Travel! Frog		null
蚁人2：黄蜂女现身	佩顿·里德	保罗·路德/伊万杰琳·莉莉/迈克尔·佩纳/沃尔顿·戈金斯/鲍比·坎纳瓦尔/朱迪·格雷尔/T.I./大卫·达斯马齐连/汉娜·乔恩-卡门/艾比·莱德·弗特森/兰道尔·朴/米歇尔·菲佛/劳伦斯·菲什伯恩/迈克尔·道格拉斯/戈兰·卡斯蒂克/肖恩·克莱尔/迈克尔·瑟沃瑞斯/达克斯·格里芬/海莉·洛维特/玛德琳·麦格劳/蒂姆·海德克/布莱恩·赫斯基/布莱恩·卢戈/汤姆·夏普林/安迪·阿尼斯/玛塞拉·布拉吉奥/乔·布卡罗三世	动作/科幻/冒险	美国	2018-08(中国	蚁侠2：黄蜂女现身(港)/蚁人2/蚁人与黄蜂女/Ant-Man 2	7.6	3861
我，花样女王	克雷格·吉勒斯佩	玛格特·罗比/塞巴斯蒂安·斯坦/艾莉森·珍妮/凯特琳·卡弗/麦肯娜·格瑞丝/鲍比·坎纳瓦尔/博亚娜·诺瓦科维奇/朱丽安妮·尼科尔森/凯萨琳·戴尔/保罗·沃尔特·豪泽/约书亚·米克尔/埃文·乔治·沃拉泽里斯/卡拉·曼特拉/杰森·戴维斯/凯莉·弗雷泽/安东尼·雷诺兹/杰森·麦克唐纳/迈尔斯·穆森登	剧情/喜剧/传记/运动	美国	2018-08(中国	冰之骄女(港)/老娘叫谭雅(台)/我，冰上女王/我，塔尼娅/我，托尼亚/我是坦雅/我是托尼娅	8.0	35471
